title,16297,Cards on the Table (Hercule Poirot  #15)
title,16298,A Murder Is Announced (Miss Marple  #5)
title,16299,And Then There Were None
title,16300,Sleeping Murder (Miss Marple #13)
title,16303,The Hollow (Hercule Poirot  #26)
title,16304,Murder on the Orient Express (Hercule Poirot  #10)
title,16305,Evil Under the Sun (Hercule Poirot  #24)
title,16306,Miss Marple: The Complete Short Stories (Miss Marple #15)
title,16307,Hallowe'en Party (Hercule Poirot  #39)
title,16308,Taken at the Flood (Hercule Poirot  #28)
title,16314,4.50 From Paddington (Miss Marple  #8)
title,16315,Crooked House
title,16316,The Big Four (Hercule Poirot  #5)
title,16319,The Body in the Library (Miss Marple  #3)
title,16320,Witness for the Prosecution and Selected Plays
title,16322,The A.B.C. Murders (Hercule Poirot  #13)
title,16325,Partners in Crime (Tommy and Tuppence #2)
title,16326,Death in the Clouds (Hercule Poirot  #12)
title,16328,The Murder of Roger Ackroyd (Hercule Poirot  #4)
title,16331,Murder at the Vicarage (Miss Marple #1)
title,16332,Third Girl (Hercule Poirot  #38)
title,16333,At Bertram's Hotel (Miss Marple  #11)
title,16335,The Mystery of the Blue Train (Hercule Poirot  #6)
title,16336,The Unexpected Guest: A Play In Two Acts
title,16338,Why Didn't They Ask Evans?
title,16339,The Sittaford Mystery
title,16340,After the Funeral
title,16341,The Moving Finger (Miss Marple #4)
title,16342,Cat Among the Pigeons (Hercule Poirot  #34)
title,16343,The Mysterious Affair at Styles (Hercule Poirot  #1)
title,16344,Dumb Witness (Hercule Poirot  #16)
title,16349,Hercule Poirot's Christmas (Hercule Poirot  #20)
title,16356,The Mysterious Mr. Quin (Harley Quin  #1)
title,16360,Murder in Mesopotamia (Hercule Poirot  #14)
title,16361,The Secret of Chimneys (Superintendent Battle  #1)
title,16362,The Mysterious Affair at Styles
title,16363,Appointment with Death (Hercule Poirot  #19)
title,16364,Murder on the Orient Express (Hercule Poirot  #10)
title,16366,Endless Night
title,16368,The Regatta Mystery and Other Stories (Hercule Poirot  #21)
title,16369,Death on the Nile (Hercule Poirot  #17)
title,16371,Mrs. McGinty's Dead (Hercule Poirot  #30)
title,16372,The Mirror Crack'd from Side to Side (Miss Marple  #9)
title,16422,Poirot Investigates
title,16424,Peril at End House (Hercule Poirot  #8)
title,16426,Poirot's Early Cases
title,16427,Dead Man's Folly (Hercule Poirot  #33)
title,16428,Hercule Poirot's Casebook (Hercule Poirot  #42)
title,16464,Poirot: The Complete Ariadne Oliver  Vol. 2
title,22159,Ten Little Indians
title,31300,A Caribbean Mystery (Miss Marple  #10)
title,31301,Miss Marple's Final Cases (Miss Marple #14)
title,31302,Five Complete Miss Marple Novels: The Mirror Crack'd / A Caribbean Mystery / Nemesis / What Mrs. McGillicuddy Saw! / The Body in the Library
title,31303,At Bertram's Hotel
title,31304,Nemesis (Miss Marple #12)
title,31306,Murder at the Vicarage
title,31307,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel)
title,31308,A Murder Is Announced (Miss Marple  #5)
title,31309,The Thirteen Problems (Miss Marple  #2)
title,31318,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas)
title,31319,They Do It With Mirrors (Miss Marple #6)
title,31322,Three Classic Mysteries Starring Miss Marple: A Murder is Announced /The Body in the Library / Murder With Mirrors
title,33400,Das Haus an der Düne
title,37562,The Listerdale Mystery
title,37563,Mörderblumen
title,37574,The Mirror Crack'd
title,37575,Dead Man's Mirror
title,37582,Miss Marple Meets Murder: The Mirror Crack'd / A Pocket Full of Rye / At Bertram's Hotel / The Moving Finger
title,39954,Dame Agatha Abroad: Murder on the Orient Express / They Came to Bagdad / Murder in Mesopotamia
