16335,isbn13,9781579126957
16335,language_code,eng
16335,# num_pages,317
16335,ratings_count,21431
16335,text_reviews_count,933
16336,title,The Unexpected Guest: A Play In Two Acts
16336,authors,Agatha Christie
16336,average_rating,3.8
16336,isbn,0573014671
16336,isbn13,9780573014673
16336,language_code,eng
16336,# num_pages,100
16336,ratings_count,2771
16336,text_reviews_count,165
16338,title,Why Didn't They Ask Evans?
16338,authors,Agatha Christie
16338,average_rating,3.8
16338,isbn,0753165716
16338,isbn13,9780753165713
16338,language_code,eng
16338,# num_pages,328
16338,ratings_count,12
16338,text_reviews_count,0
16339,title,The Sittaford Mystery
16339,authors,Agatha Christie
16339,average_rating,3.7
16339,isbn,0007136846
16339,isbn13,9780007136841
16339,language_code,eng
16339,# num_pages,400
16339,ratings_count,8329
16339,text_reviews_count,488
16340,title,After the Funeral
16340,authors,Agatha Christie
16340,average_rating,3.9
16340,isbn,0002310198
16340,isbn13,9780002310192
16340,language_code,eng
16340,# num_pages,251
16340,ratings_count,47
16340,text_reviews_count,4
16341,title,The Moving Finger (Miss Marple #4)
16341,authors,Agatha Christie
16341,average_rating,3.8
16341,isbn,0007120842
16341,isbn13,9780007120840
16341,language_code,eng
16341,# num_pages,299
16341,ratings_count,18561
16341,text_reviews_count,973
16342,title,Cat Among the Pigeons (Hercule Poirot  #34)
16342,authors,Agatha Christie
16342,average_rating,3.8
16342,isbn,0425205967
16342,isbn13,9780425205969
16342,language_code,eng
16342,# num_pages,352
16342,ratings_count,20134
16342,text_reviews_count,674
16343,title,The Mysterious Affair at Styles (Hercule Poirot  #1)
16343,authors,Agatha Christie
16343,average_rating,4.0
16343,isbn,0646418432
16343,isbn13,9780646418438
16343,language_code,eng
16343,# num_pages,121
16343,ratings_count,180757
16343,text_reviews_count,3440
16344,title,Dumb Witness (Hercule Poirot  #16)
16344,authors,Agatha Christie
16344,average_rating,3.8
16344,isbn,0007120796
16344,isbn13,9780007120796
16344,language_code,eng
16344,# num_pages,411
16344,ratings_count,13973
16344,text_reviews_count,634
16349,title,Hercule Poirot's Christmas (Hercule Poirot  #20)
16349,authors,Agatha Christie
16349,average_rating,3.9
16349,isbn,0007120699
16349,isbn13,9780007120697
16349,language_code,eng
16349,# num_pages,335
16349,ratings_count,23113
16349,text_reviews_count,1211
16356,title,The Mysterious Mr. Quin (Harley Quin  #1)
16356,authors,Agatha Christie
16356,average_rating,3.7
16356,isbn,0007154844
16356,isbn13,9780007154845
16356,language_code,eng
16356,# num_pages,396
16356,ratings_count,7514
16356,text_reviews_count,348
16360,title,Murder in Mesopotamia (Hercule Poirot  #14)
16360,authors,Agatha Christie
16360,average_rating,3.9
16360,isbn,0007113803
16360,isbn13,9780007113804
16360,language_code,eng
16360,# num_pages,264
16360,ratings_count,25692
16360,text_reviews_count,874
16361,title,The Secret of Chimneys (Superintendent Battle  #1)
16361,authors,Agatha Christie
16361,average_rating,3.9
16361,isbn,0007122586
16361,isbn13,9780007122585
16361,language_code,eng
16361,# num_pages,400
16361,ratings_count,11110
16361,text_reviews_count,526
16362,title,The Mysterious Affair at Styles
16362,authors,Agatha Christie
16362,average_rating,4.0
16362,isbn,0553350048
16362,isbn13,9780553350043
16362,language_code,eng
16362,# num_pages,196
16362,ratings_count,78
16362,text_reviews_count,16
16363,title,Appointment with Death (Hercule Poirot  #19)
16363,authors,Agatha Christie
16363,average_rating,3.9
16363,isbn,0007119356
16363,isbn13,9780007119356
16363,language_code,eng
16363,# num_pages,303
16363,ratings_count,24859
16363,text_reviews_count,890
16364,title,Murder on the Orient Express (Hercule Poirot  #10)
16364,authors,Agatha Christie
16364,average_rating,4.2
16364,isbn,1579126235
16364,isbn13,9781579126230
16364,language_code,eng
16364,# num_pages,266
16364,ratings_count,1475
16364,text_reviews_count,238
16366,title,Endless Night
16366,authors,Agatha Christie
16366,average_rating,3.8
16366,isbn,0007151675
16366,isbn13,9780007151677
16366,language_code,eng
16366,# num_pages,303
16366,ratings_count,12740
16366,text_reviews_count,1159
16368,title,The Regatta Mystery and Other Stories (Hercule Poirot  #21)
16368,authors,Agatha Christie
16368,average_rating,4.0
16368,isbn,0425100413
16368,isbn13,9780425100417
16368,language_code,eng
16368,# num_pages,214
16368,ratings_count,5701
16368,text_reviews_count,154
16369,title,Death on the Nile (Hercule Poirot  #17)
16369,authors,Agatha Christie
16369,average_rating,4.1
16369,isbn,1579126898
16369,isbn13,9781579126896
16369,language_code,eng
16369,# num_pages,351
16369,ratings_count,629
16369,text_reviews_count,85
16371,title,Mrs. McGinty's Dead (Hercule Poirot  #30)
16371,authors,Agatha Christie
16371,average_rating,3.8
16371,isbn,0007121008
16371,isbn13,9780007121007
16371,language_code,eng
16371,# num_pages,328
16371,ratings_count,525
16371,text_reviews_count,62
16372,title,The Mirror Crack'd from Side to Side (Miss Marple  #9)
16372,authors,Agatha Christie
16372,average_rating,3.9
16372,isbn,0007120982
16372,isbn13,9780007120987
16372,language_code,eng
16372,# num_pages,351
16372,ratings_count,23249
16372,text_reviews_count,708
16422,title,Poirot Investigates
16422,authors,Agatha Christie
16422,average_rating,4.0
16422,isbn,0425174727
16422,isbn13,9780425174722
16422,language_code,eng
16422,# num_pages,245
16422,ratings_count,651
16422,text_reviews_count,82
16424,title,Peril at End House (Hercule Poirot  #8)
16424,authors,Agatha Christie
16424,average_rating,3.9
16424,isbn,0007119305
16424,isbn13,9780007119301
16424,language_code,eng
16424,# num_pages,287
16424,ratings_count,25055
